jogador_primario,jogador_secundario,arbitro,pecas_pretas,pecas_brancas,data_inicio,data_fim,vencedor,id,chave_campeonato,chave_salao
Player 1,Player 2,Referee 1,5,11,2023-06-25 19:28:21.860520,2023-06-25 20:28:21.860520,Player 1,1,Championship 1,Venue 1
Player 2,Player 3,Referee 2,14,2,2023-06-24 19:28:21.860566,2023-06-24 23:28:21.860566,Player 2,2,Championship 2,Venue 2
Player 3,Player 4,Referee 3,5,11,2023-06-23 19:28:21.860586,2023-06-23 20:28:21.860586,Player 4,3,Championship 3,Venue 3
Player 4,Player 5,Referee 4,10,6,2023-06-22 19:28:21.860605,2023-06-23 00:28:21.860605,Player 4,4,Championship 4,Venue 4
Player 5,Player 6,Referee 5,12,4,2023-06-21 19:28:21.860623,2023-06-21 21:28:21.860623,Player 5,5,Championship 5,Venue 5
Player 6,Player 7,Referee 6,2,14,2023-06-20 19:28:21.860643,2023-06-21 00:28:21.860643,Player 6,6,Championship 6,Venue 6
Player 7,Player 8,Referee 7,16,0,2023-06-19 19:28:21.860670,2023-06-19 20:28:21.860670,Player 8,7,Championship 7,Venue 7
Player 8,Player 9,Referee 8,16,0,2023-06-18 19:28:21.860693,2023-06-18 23:28:21.860693,Player 8,8,Championship 8,Venue 8
Player 9,Player 10,Referee 9,0,16,2023-06-17 19:28:21.860714,2023-06-18 00:28:21.860714,Player 10,9,Championship 9,Venue 9
Player 10,Player 11,Referee 10,0,16,2023-06-16 19:28:21.860737,2023-06-17 00:28:21.860737,Player 10,10,Championship 10,Venue 10
Player 11,Player 12,Referee 11,14,2,2023-06-15 19:28:21.860760,2023-06-15 23:28:21.860760,Player 11,11,Championship 11,Venue 11
Player 12,Player 13,Referee 12,13,3,2023-06-14 19:28:21.860777,2023-06-15 00:28:21.860777,Player 12,12,Championship 12,Venue 12
Player 13,Player 14,Referee 13,1,15,2023-06-13 19:28:21.860793,2023-06-13 22:28:21.860793,Player 14,13,Championship 13,Venue 13
Player 14,Player 15,Referee 14,14,2,2023-06-12 19:28:21.860809,2023-06-12 22:28:21.860809,Player 14,14,Championship 14,Venue 14
Player 15,Player 16,Referee 15,11,5,2023-06-11 19:28:21.860824,2023-06-11 23:28:21.860824,Player 16,15,Championship 15,Venue 15
Player 16,Player 17,Referee 16,4,12,2023-06-10 19:28:21.860839,2023-06-10 21:28:21.860839,Player 17,16,Championship 16,Venue 16
Player 17,Player 18,Referee 17,12,4,2023-06-09 19:28:21.860862,2023-06-09 23:28:21.860862,Player 17,17,Championship 17,Venue 17
Player 18,Player 19,Referee 18,8,8,2023-06-08 19:28:21.860888,2023-06-08 20:28:21.860888,Player 18,18,Championship 18,Venue 18
Player 19,Player 20,Referee 19,12,4,2023-06-07 19:28:21.860912,2023-06-08 00:28:21.860912,Player 19,19,Championship 19,Venue 19
Player 20,Player 21,Referee 20,7,9,2023-06-06 19:28:21.860935,2023-06-06 23:28:21.860935,Player 20,20,Championship 20,Venue 20
Player 21,Player 22,Referee 21,5,11,2023-06-05 19:28:21.860952,2023-06-05 23:28:21.860952,Player 21,21,Championship 21,Venue 21
Player 22,Player 23,Referee 22,6,10,2023-06-04 19:28:21.860987,2023-06-04 23:28:21.860987,Player 23,22,Championship 22,Venue 22
Player 23,Player 24,Referee 23,4,12,2023-06-03 19:28:21.861000,2023-06-03 21:28:21.861000,Player 24,23,Championship 23,Venue 23
Player 24,Player 25,Referee 24,14,2,2023-06-02 19:28:21.861014,2023-06-02 20:28:21.861014,Player 24,24,Championship 24,Venue 24
Player 25,Player 26,Referee 25,12,4,2023-06-01 19:28:21.861025,2023-06-01 22:28:21.861025,Player 26,25,Championship 25,Venue 25
Player 26,Player 27,Referee 26,2,14,2023-05-31 19:28:21.861034,2023-05-31 22:28:21.861034,Player 26,26,Championship 26,Venue 26
Player 27,Player 28,Referee 27,11,5,2023-05-30 19:28:21.861054,2023-05-31 00:28:21.861054,Player 28,27,Championship 27,Venue 27
Player 28,Player 29,Referee 28,10,6,2023-05-29 19:28:21.861069,2023-05-29 21:28:21.861069,Player 28,28,Championship 28,Venue 28
Player 29,Player 30,Referee 29,15,1,2023-05-28 19:28:21.861083,2023-05-28 20:28:21.861083,Player 29,29,Championship 29,Venue 29
Player 30,Player 31,Referee 30,7,9,2023-05-27 19:28:21.861097,2023-05-28 00:28:21.861097,Player 31,30,Championship 30,Venue 30
Player 31,Player 32,Referee 31,0,16,2023-05-26 19:28:21.861111,2023-05-27 00:28:21.861111,Player 31,31,Championship 31,Venue 31
Player 32,Player 33,Referee 32,7,9,2023-05-25 19:28:21.861126,2023-05-25 21:28:21.861126,Player 32,32,Championship 32,Venue 32
Player 33,Player 34,Referee 33,9,7,2023-05-24 19:28:21.861146,2023-05-24 21:28:21.861146,Player 34,33,Championship 33,Venue 33
Player 34,Player 35,Referee 34,3,13,2023-05-23 19:28:21.861164,2023-05-23 21:28:21.861164,Player 34,34,Championship 34,Venue 34
Player 35,Player 36,Referee 35,14,2,2023-05-22 19:28:21.861192,2023-05-22 23:28:21.861192,Player 35,35,Championship 35,Venue 35
Player 36,Player 37,Referee 36,2,14,2023-05-21 19:28:21.861223,2023-05-21 21:28:21.861223,Player 37,36,Championship 36,Venue 36
Player 37,Player 38,Referee 37,14,2,2023-05-20 19:28:21.861245,2023-05-20 23:28:21.861245,Player 38,37,Championship 37,Venue 37
Player 38,Player 39,Referee 38,13,3,2023-05-19 19:28:21.861270,2023-05-20 00:28:21.861270,Player 39,38,Championship 38,Venue 38
Player 39,Player 40,Referee 39,10,6,2023-05-18 19:28:21.861291,2023-05-18 23:28:21.861291,Player 39,39,Championship 39,Venue 39
Player 40,Player 41,Referee 40,13,3,2023-05-17 19:28:21.861312,2023-05-17 21:28:21.861312,Player 41,40,Championship 40,Venue 40
Player 41,Player 42,Referee 41,12,4,2023-05-16 19:28:21.861332,2023-05-16 23:28:21.861332,Player 41,41,Championship 41,Venue 41
Player 42,Player 43,Referee 42,11,5,2023-05-15 19:28:21.861356,2023-05-15 22:28:21.861356,Player 42,42,Championship 42,Venue 42
Player 43,Player 44,Referee 43,13,3,2023-05-14 19:28:21.861386,2023-05-14 23:28:21.861386,Player 43,43,Championship 43,Venue 43
Player 44,Player 45,Referee 44,11,5,2023-05-13 19:28:21.861411,2023-05-13 21:28:21.861411,Player 44,44,Championship 44,Venue 44
Player 45,Player 46,Referee 45,11,5,2023-05-12 19:28:21.861439,2023-05-12 20:28:21.861439,Player 46,45,Championship 45,Venue 45
Player 46,Player 47,Referee 46,6,10,2023-05-11 19:28:21.861471,2023-05-11 20:28:21.861471,Player 46,46,Championship 46,Venue 46
Player 47,Player 48,Referee 47,15,1,2023-05-10 19:28:21.861495,2023-05-10 23:28:21.861495,Player 48,47,Championship 47,Venue 47
Player 48,Player 49,Referee 48,16,0,2023-05-09 19:28:21.861523,2023-05-09 21:28:21.861523,Player 49,48,Championship 48,Venue 48
Player 49,Player 50,Referee 49,13,3,2023-05-08 19:28:21.861551,2023-05-08 22:28:21.861551,Player 49,49,Championship 49,Venue 49
Player 50,Player 51,Referee 50,0,16,2023-05-07 19:28:21.861570,2023-05-08 00:28:21.861570,Player 50,50,Championship 50,Venue 50
Player 51,Player 52,Referee 51,16,0,2023-05-06 19:28:21.861586,2023-05-06 23:28:21.861586,Player 52,51,Championship 51,Venue 51
Player 52,Player 53,Referee 52,1,15,2023-05-05 19:28:21.861603,2023-05-06 00:28:21.861603,Player 52,52,Championship 52,Venue 52
Player 53,Player 54,Referee 53,16,0,2023-05-04 19:28:21.861627,2023-05-04 20:28:21.861627,Player 53,53,Championship 53,Venue 53
Player 54,Player 55,Referee 54,16,0,2023-05-03 19:28:21.861652,2023-05-03 21:28:21.861652,Player 55,54,Championship 54,Venue 54
Player 55,Player 56,Referee 55,10,6,2023-05-02 19:28:21.861664,2023-05-02 23:28:21.861664,Player 56,55,Championship 55,Venue 55
Player 56,Player 57,Referee 56,6,10,2023-05-01 19:28:21.861674,2023-05-01 20:28:21.861674,Player 56,56,Championship 56,Venue 56
Player 57,Player 58,Referee 57,7,9,2023-04-30 19:28:21.861684,2023-05-01 00:28:21.861684,Player 57,57,Championship 57,Venue 57
Player 58,Player 59,Referee 58,0,16,2023-04-29 19:28:21.861693,2023-04-29 20:28:21.861693,Player 58,58,Championship 58,Venue 58
Player 59,Player 60,Referee 59,12,4,2023-04-28 19:28:21.861703,2023-04-28 21:28:21.861703,Player 60,59,Championship 59,Venue 59
Player 60,Player 61,Referee 60,0,16,2023-04-27 19:28:21.861712,2023-04-27 22:28:21.861712,Player 61,60,Championship 60,Venue 60
Player 61,Player 62,Referee 61,6,10,2023-04-26 19:28:21.861722,2023-04-26 23:28:21.861722,Player 61,61,Championship 61,Venue 61
Player 62,Player 63,Referee 62,12,4,2023-04-25 19:28:21.861731,2023-04-26 00:28:21.861731,Player 63,62,Championship 62,Venue 62
Player 63,Player 64,Referee 63,16,0,2023-04-24 19:28:21.861741,2023-04-24 23:28:21.861741,Player 64,63,Championship 63,Venue 63
Player 64,Player 65,Referee 64,3,13,2023-04-23 19:28:21.861810,2023-04-23 20:28:21.861810,Player 64,64,Championship 64,Venue 64
Player 65,Player 66,Referee 65,14,2,2023-04-22 19:28:21.861838,2023-04-22 23:28:21.861838,Player 65,65,Championship 65,Venue 65
Player 66,Player 67,Referee 66,16,0,2023-04-21 19:28:21.861859,2023-04-21 21:28:21.861859,Player 67,66,Championship 66,Venue 66
Player 67,Player 68,Referee 67,12,4,2023-04-20 19:28:21.861878,2023-04-20 23:28:21.861878,Player 67,67,Championship 67,Venue 67
Player 68,Player 69,Referee 68,1,15,2023-04-19 19:28:21.861898,2023-04-19 22:28:21.861898,Player 68,68,Championship 68,Venue 68
Player 69,Player 70,Referee 69,11,5,2023-04-18 19:28:21.861917,2023-04-18 23:28:21.861917,Player 69,69,Championship 69,Venue 69
Player 70,Player 71,Referee 70,9,7,2023-04-17 19:28:21.861936,2023-04-17 22:28:21.861936,Player 71,70,Championship 70,Venue 70
Player 71,Player 72,Referee 71,2,14,2023-04-16 19:28:21.861955,2023-04-16 20:28:21.861955,Player 71,71,Championship 71,Venue 71
Player 72,Player 73,Referee 72,13,3,2023-04-15 19:28:21.861974,2023-04-15 20:28:21.861974,Player 73,72,Championship 72,Venue 72
Player 73,Player 74,Referee 73,4,12,2023-04-14 19:28:21.861993,2023-04-14 22:28:21.861993,Player 73,73,Championship 73,Venue 73
Player 74,Player 75,Referee 74,12,4,2023-04-13 19:28:21.862011,2023-04-13 22:28:21.862011,Player 74,74,Championship 74,Venue 74
Player 75,Player 76,Referee 75,12,4,2023-04-12 19:28:21.862030,2023-04-12 23:28:21.862030,Player 75,75,Championship 75,Venue 75
Player 76,Player 77,Referee 76,4,12,2023-04-11 19:28:21.862056,2023-04-11 23:28:21.862056,Player 77,76,Championship 76,Venue 76
Player 77,Player 78,Referee 77,6,10,2023-04-10 19:28:21.862072,2023-04-10 23:28:21.862072,Player 77,77,Championship 77,Venue 77
Player 78,Player 79,Referee 78,3,13,2023-04-09 19:28:21.862082,2023-04-09 22:28:21.862082,Player 78,78,Championship 78,Venue 78
Player 79,Player 80,Referee 79,1,15,2023-04-08 19:28:21.862092,2023-04-08 21:28:21.862092,Player 80,79,Championship 79,Venue 79
Player 80,Player 81,Referee 80,15,1,2023-04-07 19:28:21.862102,2023-04-08 00:28:21.862102,Player 81,80,Championship 80,Venue 80
Player 81,Player 82,Referee 81,15,1,2023-04-06 19:28:21.862126,2023-04-07 00:28:21.862126,Player 82,81,Championship 81,Venue 81
Player 82,Player 83,Referee 82,13,3,2023-04-05 19:28:21.862147,2023-04-06 00:28:21.862147,Player 82,82,Championship 82,Venue 82
